0,1,2,3,4,5,6,7,y
66,68,44,56,67,70,60,44,68
68,44,56,67,70,60,44,68,60
44,56,67,70,60,44,68,60,61
56,67,70,60,44,68,60,61,73
67,70,60,44,68,60,61,73,49
70,60,44,68,60,61,73,49,79
60,44,68,60,61,73,49,79,80
44,68,60,61,73,49,79,80,53
68,60,61,73,49,79,80,53,58
60,61,73,49,79,80,53,58,89
61,73,49,79,80,53,58,89,44
73,49,79,80,53,58,89,44,63
49,79,80,53,58,89,44,63,54
79,80,53,58,89,44,63,54,67
80,53,58,89,44,63,54,67,44
53,58,89,44,63,54,67,44,66
58,89,44,63,54,67,44,66,56
89,44,63,54,67,44,66,56,56
44,63,54,67,44,66,56,56,68
63,54,67,44,66,56,56,68,68
54,67,44,66,56,56,68,68,60
67,44,66,56,56,68,68,60,70
44,66,56,56,68,68,60,70,37
66,56,56,68,68,60,70,37,73
56,56,68,68,60,70,37,73,53
56,68,68,60,70,37,73,53,79
68,68,60,70,37,73,53,79,89
68,60,70,37,73,53,79,89,42
60,70,37,73,53,79,89,42,80
70,37,73,53,79,89,42,80,56
37,73,53,79,89,42,80,56,61
73,53,79,89,42,80,56,61,49
53,79,89,42,80,56,61,49,71
79,89,42,80,56,61,49,71,58
89,42,80,56,61,49,71,58,37
42,80,56,61,49,71,58,37,73
80,56,61,49,71,58,37,73,72
56,61,49,71,58,37,73,72,61
61,49,71,58,37,73,72,61,42
49,71,58,37,73,72,61,42,49
71,58,37,73,72,61,42,49,79
58,37,73,72,61,42,49,79,77
37,73,72,61,42,49,79,77,56
73,72,61,42,49,79,77,56,49
72,61,42,49,79,77,56,49,56
61,42,49,79,77,56,49,56,56
42,49,79,77,56,49,56,56,63
49,79,77,56,49,56,56,63,51
79,77,56,49,56,56,63,51,80
77,56,49,56,56,63,51,80,44
56,49,56,56,63,51,80,44,68
49,56,56,63,51,80,44,68,44
56,56,63,51,80,44,68,44,51
56,63,51,80,44,68,44,51,37
63,51,80,44,68,44,51,37,65
51,80,44,68,44,51,37,65,53
80,44,68,44,51,37,65,53,72
44,68,44,51,37,65,53,72,79
68,44,51,37,65,53,72,79,63
44,51,37,65,53,72,79,63,80
51,37,65,53,72,79,63,80,49
37,65,53,72,79,63,80,49,56
65,53,72,79,63,80,49,56,42
53,72,79,63,80,49,56,42,61
72,79,63,80,49,56,42,61,58
79,63,80,49,56,42,61,58,42
63,80,49,56,42,61,58,42,80
80,49,56,42,61,58,42,80,72
49,56,42,61,58,42,80,72,58
56,42,61,58,42,80,72,58,54
42,61,58,42,80,72,58,54,63
61,58,42,80,72,58,54,63,37
58,42,80,72,58,54,63,37,73
42,80,72,58,54,63,37,73,68
80,72,58,54,63,37,73,68,77
72,58,54,63,37,73,68,77,61
58,54,63,37,73,68,77,61,79
54,63,37,73,68,77,61,79,72
63,37,73,68,77,61,79,72,89
37,73,68,77,61,79,72,89,49
73,68,77,61,79,72,89,49,56
68,77,61,79,72,89,49,56,56
77,61,79,72,89,49,56,56,51
61,79,72,89,49,56,56,51,72
79,72,89,49,56,56,51,72,44
72,89,49,56,56,51,72,44,44
89,49,56,56,51,72,44,44,63
49,56,56,51,72,44,44,63,68
56,56,51,72,44,44,63,68,63
56,51,72,44,44,63,68,63,60
51,72,44,44,63,68,63,60,37
72,44,44,63,68,63,60,37,65
44,44,63,68,63,60,37,65,53
44,63,68,63,60,37,65,53,79
63,68,63,60,37,65,53,79,77
68,63,60,37,65,53,79,77,49
63,60,37,65,53,79,77,49,56
60,37,65,53,79,77,49,56,89
37,65,53,79,77,49,56,89,44
65,53,79,77,49,56,89,44,63
53,79,77,49,56,89,44,63,65
79,77,49,56,89,44,63,65,68
77,49,56,89,44,63,65,68,72
49,56,89,44,63,65,68,72,68
56,89,44,63,65,68,72,68,77
89,44,63,65,68,72,68,77,61
44,63,65,68,72,68,77,61,66
63,65,68,72,68,77,61,66,68
65,68,72,68,77,61,66,68,73
68,72,68,77,61,66,68,73,66
72,68,77,61,66,68,73,66,79
68,77,61,66,68,73,66,79,89
77,61,66,68,73,66,79,89,85
61,66,68,73,66,79,89,85,89
66,68,73,66,79,89,85,89,61
68,73,66,79,89,85,89,61,79
73,66,79,89,85,89,61,79,80
66,79,89,85,89,61,79,80,89
79,89,85,89,61,79,80,89,53
89,85,89,61,79,80,89,53,54
85,89,61,79,80,89,53,54,56
89,61,79,80,89,53,54,56,65
61,79,80,89,53,54,56,65,66
79,80,89,53,54,56,65,66,77
80,89,53,54,56,65,66,77,37
89,53,54,56,65,66,77,37,49
53,54,56,65,66,77,37,49,55
54,56,65,66,77,37,49,55,80
56,65,66,77,37,49,55,80,44
65,66,77,37,49,55,80,44,67
66,77,37,49,55,80,44,67,70
77,37,49,55,80,44,67,70,67
37,49,55,80,44,67,70,67,68
49,55,80,44,67,70,67,68,68
55,80,44,67,70,67,68,68,68
80,44,67,70,67,68,68,68,68
44,67,70,67,68,68,68,68,70
67,70,67,68,68,68,68,70,70
70,67,68,68,68,68,70,70,70
67,68,68,68,68,70,70,70,70
68,68,68,68,70,70,70,70,70
68,68,68,70,70,70,70,70,68
68,68,70,70,70,70,70,68,68
68,70,70,70,70,70,68,68,68
70,70,70,70,70,68,68,68,73
70,70,70,70,68,68,68,73,56
70,70,70,68,68,68,73,56,56
70,70,68,68,68,73,56,56,65
70,68,68,68,73,56,56,65,77
68,68,68,73,56,56,65,77,61
68,68,73,56,56,65,77,61,77
68,73,56,56,65,77,61,77,56
73,56,56,65,77,61,77,56,67
56,56,65,77,61,77,56,67,49
56,65,77,61,77,56,67,49,53
65,77,61,77,56,67,49,53,61
77,61,77,56,67,49,53,61,73
61,77,56,67,49,53,61,73,37
77,56,67,49,53,61,73,37,65
56,67,49,53,61,73,37,65,61
67,49,53,61,73,37,65,61,68
49,53,61,73,37,65,61,68,68
53,61,73,37,65,61,68,68,56
61,73,37,65,61,68,68,56,68
73,37,65,61,68,68,56,68,68
37,65,61,68,68,56,68,68,65
65,61,68,68,56,68,68,65,53
61,68,68,56,68,68,65,53,61
68,68,56,68,68,65,53,61,56
68,56,68,68,65,53,61,56,54
56,68,68,65,53,61,56,54,51
68,68,65,53,61,56,54,51,54
68,65,53,61,56,54,51,54,75
65,53,61,56,54,51,54,75,56
53,61,56,54,51,54,75,56,72
61,56,54,51,54,75,56,72,54
56,54,51,54,75,56,72,54,68
54,51,54,75,56,72,54,68,44
51,54,75,56,72,54,68,44,63
54,75,56,72,54,68,44,63,32
75,56,72,54,68,44,63,32,68
56,72,54,68,44,63,32,68,63
72,54,68,44,63,32,68,63,60
54,68,44,63,32,68,63,60,66
68,44,63,32,68,63,60,66,60
44,63,32,68,63,60,66,60,56
63,32,68,63,60,66,60,56,54
32,68,63,60,66,60,56,54,51
68,63,60,66,60,56,54,51,68
63,60,66,60,56,54,51,68,56
60,66,60,56,54,51,68,56,56
66,60,56,54,51,68,56,56,68
60,56,54,51,68,56,56,68,73
56,54,51,68,56,56,68,73,49
54,51,68,56,56,68,73,49,68
51,68,56,56,68,73,49,68,77
68,56,56,68,73,49,68,77,61
56,56,68,73,49,68,77,61,65
56,68,73,49,68,77,61,65,56
68,73,49,68,77,61,65,56,73
73,49,68,77,61,65,56,73,37
49,68,77,61,65,56,73,37,65
68,77,61,65,56,73,37,65,53
77,61,65,56,73,37,65,53,65
61,65,56,73,37,65,53,65,68
65,56,73,37,65,53,65,68,61
56,73,37,65,53,65,68,61,68
73,37,65,53,65,68,61,68,56
37,65,53,65,68,61,68,56,73
65,53,65,68,61,68,56,73,53
53,65,68,61,68,56,73,53,72
65,68,61,68,56,73,53,72,70
68,61,68,56,73,53,72,70,63
61,68,56,73,53,72,70,63,60
68,56,73,53,72,70,63,60,73
56,73,53,72,70,63,60,73,65
73,53,72,70,63,60,73,65,51
53,72,70,63,60,73,65,51,63
72,70,63,60,73,65,51,63,58
70,63,60,73,65,51,63,58,63
63,60,73,65,51,63,58,63,67
60,73,65,51,63,58,63,67,63
73,65,51,63,58,63,67,63,68
65,51,63,58,63,67,63,68,51
51,63,58,63,67,63,68,51,60
63,58,63,67,63,68,51,60,63
58,63,67,63,68,51,60,63,51
63,67,63,68,51,60,63,51,58
67,63,68,51,60,63,51,58,32
63,68,51,60,63,51,58,32,60
68,51,60,63,51,58,32,60,48
51,60,63,51,58,32,60,48,68
60,63,51,58,32,60,48,68,73
63,51,58,32,60,48,68,73,56
51,58,32,60,48,68,73,56,72
58,32,60,48,68,73,56,72,54
32,60,48,68,73,56,72,54,63
60,48,68,73,56,72,54,63,67
48,68,73,56,72,54,63,67,66
68,73,56,72,54,63,67,66,72
73,56,72,54,63,67,66,72,72
56,72,54,63,67,66,72,72,44
72,54,63,67,66,72,72,44,56
54,63,67,66,72,72,44,56,63
63,67,66,72,72,44,56,63,56
67,66,72,72,44,56,63,56,70
66,72,72,44,56,63,56,70,73
72,72,44,56,63,56,70,73,63
72,44,56,63,56,70,73,63,68
44,56,63,56,70,73,63,68,68
56,63,56,70,73,63,68,68,61
63,56,70,73,63,68,68,61,65
56,70,73,63,68,68,61,65,56
70,73,63,68,68,61,65,56,73
73,63,68,68,61,65,56,73,72
63,68,68,61,65,56,73,72,49
68,68,61,65,56,73,72,49,56
68,61,65,56,73,72,49,56,73
61,65,56,73,72,49,56,73,68
65,56,73,72,49,56,73,68,60
56,73,72,49,56,73,68,60,72
73,72,49,56,73,68,60,72,54
72,49,56,73,68,60,72,54,72
49,56,73,68,60,72,54,72,65
56,73,68,60,72,54,72,65,66
73,68,60,72,54,72,65,66,63
68,60,72,54,72,65,66,63,60
60,72,54,72,65,66,63,60,56
72,54,72,65,66,63,60,56,72
54,72,65,66,63,60,56,72,63
72,65,66,63,60,56,72,63,64
65,66,63,60,56,72,63,64,78
66,63,60,56,72,63,64,78,73
63,60,56,72,63,64,78,73,75
60,56,72,63,64,78,73,75,49
56,72,63,64,78,73,75,49,56
72,63,64,78,73,75,49,56,64
63,64,78,73,75,49,56,64,65
64,78,73,75,49,56,64,65,68
78,73,75,49,56,64,65,68,61
73,75,49,56,64,65,68,61,68
75,49,56,64,65,68,61,68,70
49,56,64,65,68,61,68,70,58
56,64,65,68,61,68,70,58,63
64,65,68,61,68,70,58,63,65
65,68,61,68,70,58,63,65,73
68,61,68,70,58,63,65,73,42
61,68,70,58,63,65,73,42,73
68,70,58,63,65,73,42,73,61
70,58,63,65,73,42,73,61,60
58,63,65,73,42,73,61,60,61
63,65,73,42,73,61,60,61,78
65,73,42,73,61,60,61,78,73
73,42,73,61,60,61,78,73,87
42,73,61,60,61,78,73,87,56
73,61,60,61,78,73,87,56,37
61,60,61,78,73,87,56,37,53
60,61,78,73,87,56,37,53,55
61,78,73,87,56,37,53,55,73
78,73,87,56,37,53,55,73,61
73,87,56,37,53,55,73,61,68
87,56,37,53,55,73,61,68,85
56,37,53,55,73,61,68,85,68
37,53,55,73,61,68,85,68,54
53,55,73,61,68,85,68,54,55
55,73,61,68,85,68,54,55,56
73,61,68,85,68,54,55,56,65
61,68,85,68,54,55,56,65,77
68,85,68,54,55,56,65,77,56
85,68,54,55,56,65,77,56,44
68,54,55,56,65,77,56,44,66
54,55,56,65,77,56,44,66,79
55,56,65,77,56,44,66,79,72
56,65,77,56,44,66,79,72,90
65,77,56,44,66,79,72,90,73
77,56,44,66,79,72,90,73,75
56,44,66,79,72,90,73,75,65
44,66,79,72,90,73,75,65,44
66,79,72,90,73,75,65,44,53
79,72,90,73,75,65,44,53,54
72,90,73,75,65,44,53,54,65
90,73,75,65,44,53,54,65,78
73,75,65,44,53,54,65,78,37
75,65,44,53,54,65,78,37,55
65,44,53,54,65,78,37,55,65
44,53,54,65,78,37,55,65,89
53,54,65,78,37,55,65,89,72
54,65,78,37,55,65,89,72,70
65,78,37,55,65,89,72,70,58
78,37,55,65,89,72,70,58,60
37,55,65,89,72,70,58,60,61
55,65,89,72,70,58,60,61,82
65,89,72,70,58,60,61,82,73
89,72,70,58,60,61,82,73,65
72,70,58,60,61,82,73,65,66
70,58,60,61,82,73,65,66,84
58,60,61,82,73,65,66,84,56
60,61,82,73,65,66,84,56,73
61,82,73,65,66,84,56,73,53
82,73,65,66,84,56,73,53,55
73,65,66,84,56,73,53,55,68
65,66,84,56,73,53,55,68,77
66,84,56,73,53,55,68,77,68
84,56,73,53,55,68,77,68,37
56,73,53,55,68,77,68,37,56
73,53,55,68,77,68,37,56,89
53,55,68,77,68,37,56,89,68
55,68,77,68,37,56,89,68,54
68,77,68,37,56,89,68,54,55
77,68,37,56,89,68,54,55,56
68,37,56,89,68,54,55,56,75
37,56,89,68,54,55,56,75,44
56,89,68,54,55,56,75,44,66
89,68,54,55,56,75,44,66,78
68,54,55,56,75,44,66,78,79
54,55,56,75,44,66,78,79,68
55,56,75,44,66,78,79,68,63
56,75,44,66,78,79,68,63,90
75,44,66,78,79,68,63,90,84
44,66,78,79,68,63,90,84,73
66,78,79,68,63,90,84,73,49
78,79,68,63,90,84,73,49,54
79,68,63,90,84,73,49,54,56
68,63,90,84,73,49,54,56,53
63,90,84,73,49,54,56,53,44
90,84,73,49,54,56,53,44,73
84,73,49,54,56,53,44,73,79
73,49,54,56,53,44,73,79,80
49,54,56,53,44,73,79,80,37
54,56,53,44,73,79,80,37,44
56,53,44,73,79,80,37,44,53
53,44,73,79,80,37,44,53,56
44,73,79,80,37,44,53,56,77
73,79,80,37,44,53,56,77,78
79,80,37,44,53,56,77,78,77
80,37,44,53,56,77,78,77,37
37,44,53,56,77,78,77,37,89
44,53,56,77,78,77,37,89,54
53,56,77,78,77,37,89,54,89
56,77,78,77,37,89,54,89,44
77,78,77,37,89,54,89,44,53
78,77,37,89,54,89,44,53,54
77,37,89,54,89,44,53,54,73
37,89,54,89,44,53,54,73,77
89,54,89,44,53,54,73,77,53
54,89,44,53,54,73,77,53,73
89,44,53,54,73,77,53,73,80
44,53,54,73,77,53,73,80,37
53,54,73,77,53,73,80,37,44
54,73,77,53,73,80,37,44,49
73,77,53,73,80,37,44,49,53
77,53,73,80,37,44,49,53,56
53,73,80,37,44,49,53,56,78
73,80,37,44,49,53,56,78,89
80,37,44,49,53,56,78,89,85
37,44,49,53,56,78,89,85,54
44,49,53,56,78,89,85,54,56
49,53,56,78,89,85,54,56,65
53,56,78,89,85,54,56,65,67
56,78,89,85,54,56,65,67,77
78,89,85,54,56,65,67,77,55
89,85,54,56,65,67,77,55,68
85,54,56,65,67,77,55,68,65
54,56,65,67,77,55,68,65,85
56,65,67,77,55,68,65,85,56
65,67,77,55,68,65,85,56,80
67,77,55,68,65,85,56,80,56
77,55,68,65,85,56,80,56,61
55,68,65,85,56,80,56,61,61
68,65,85,56,80,56,61,61,68
65,85,56,80,56,61,61,68,61
85,56,80,56,61,61,68,61,44
56,80,56,61,61,68,61,44,65
80,56,61,61,68,61,44,65,65
56,61,61,68,61,44,65,65,65
61,61,68,61,44,65,65,65,77
61,68,61,44,65,65,65,77,65
68,61,44,65,65,65,77,65,61
61,44,65,65,65,77,65,61,61
44,65,65,65,77,65,61,61,37
65,65,65,77,65,61,61,37,49
65,65,77,65,61,61,37,49,85
65,77,65,61,61,37,49,85,44
77,65,61,61,37,49,85,44,56
65,61,61,37,49,85,44,56,49
61,61,37,49,85,44,56,49,56
61,37,49,85,44,56,49,56,68
37,49,85,44,56,49,56,68,56
49,85,44,56,49,56,68,56,56
85,44,56,49,56,68,56,56,56
44,56,49,56,68,56,56,56,32
56,49,56,68,56,56,56,32,42
49,56,68,56,56,56,32,42,68
56,68,56,56,56,32,42,68,56
68,56,56,56,32,42,68,56,54
56,56,56,32,42,68,56,54,61
56,56,32,42,68,56,54,61,63
56,32,42,68,56,54,61,63,75
32,42,68,56,54,61,63,75,51
42,68,56,54,61,63,75,51,75
68,56,54,61,63,75,51,75,63
56,54,61,63,75,51,75,63,56
54,61,63,75,51,75,63,56,56
61,63,75,51,75,63,56,56,32
63,75,51,75,63,56,56,32,42
75,51,75,63,56,56,32,42,48
51,75,63,56,56,32,42,48,68
75,63,56,56,32,42,48,68,68
63,56,56,32,42,48,68,68,56
56,56,32,42,48,68,68,56,60
56,32,42,48,68,68,56,60,61
32,42,48,68,68,56,60,61,80
42,48,68,68,56,60,61,80,68
48,68,68,56,60,61,80,68,61
68,68,56,60,61,80,68,61,61
68,56,60,61,80,68,61,61,61
56,60,61,80,68,61,61,61,73
60,61,80,68,61,61,61,73,61
61,80,68,61,61,61,73,61,65
80,68,61,61,61,73,61,65,65
68,61,61,61,73,61,65,65,65
61,61,61,73,61,65,65,65,46
61,61,73,61,65,65,65,46,77
61,73,61,65,65,65,46,77,61
73,61,65,65,65,46,77,61,61
61,65,65,65,46,77,61,61,37
65,65,65,46,77,61,61,37,85
65,65,46,77,61,61,37,85,49
65,46,77,61,61,37,85,49,56
46,77,61,61,37,85,49,56,61
77,61,61,37,85,49,56,61,61
61,61,37,85,49,56,61,61,68
61,37,85,49,56,61,61,68,85
37,85,49,56,61,61,68,85,60
85,49,56,61,61,68,85,60,63
49,56,61,61,68,85,60,63,73
56,61,61,68,85,60,63,73,44
61,61,68,85,60,63,73,44,49
61,68,85,60,63,73,44,49,58
68,85,60,63,73,44,49,58,72
85,60,63,73,44,49,58,72,63
60,63,73,44,49,58,72,63,61
63,73,44,49,58,72,63,61,75
73,44,49,58,72,63,61,75,55
44,49,58,72,63,61,75,55,39
49,58,72,63,61,75,55,39,56
58,72,63,61,75,55,39,56,32
72,63,61,75,55,39,56,32,44
63,61,75,55,39,56,32,44,44
61,75,55,39,56,32,44,44,44
75,55,39,56,32,44,44,44,56
55,39,56,32,44,44,44,56,68
39,56,32,44,44,44,56,68,79
56,32,44,44,44,56,68,79,56
32,44,44,44,56,68,79,56,44
44,44,44,56,68,79,56,44,60
44,44,56,68,79,56,44,60,92
44,56,68,79,56,44,60,92,80
56,68,79,56,44,60,92,80,58
68,79,56,44,60,92,80,58,44
79,56,44,60,92,80,58,44,51
56,44,60,92,80,58,44,51,60
44,60,92,80,58,44,51,60,51
60,92,80,58,44,51,60,51,60
92,80,58,44,51,60,51,60,49
80,58,44,51,60,51,60,49,94
58,44,51,60,51,60,49,94,68
44,51,60,51,60,49,94,68,56
51,60,51,60,49,94,68,56,61
60,51,60,49,94,68,56,61,53
51,60,49,94,68,56,61,53,92
60,49,94,68,56,61,53,92,61
49,94,68,56,61,53,92,61,44
94,68,56,61,53,92,61,44,80
68,56,61,53,92,61,44,80,92
56,61,53,92,61,44,80,92,68
61,53,92,61,44,80,92,68,51
53,92,61,44,80,92,68,51,68
92,61,44,80,92,68,51,68,66
61,44,80,92,68,51,68,66,80
44,80,92,68,51,68,66,80,49
80,92,68,51,68,66,80,49,51
92,68,51,68,66,80,49,51,54
68,51,68,66,80,49,51,54,80
51,68,66,80,49,51,54,80,80
68,66,80,49,51,54,80,80,92
66,80,49,51,54,80,80,92,68
80,49,51,54,80,80,92,68,37
49,51,54,80,80,92,68,37,80
51,54,80,80,92,68,37,80,92
54,80,80,92,68,37,80,92,68
80,80,92,68,37,80,92,68,68
80,92,68,37,80,92,68,68,68
92,68,37,80,92,68,68,68,49
68,37,80,92,68,68,68,49,68
37,80,92,68,68,68,49,68,49
80,92,68,68,68,49,68,49,54
92,68,68,68,49,68,49,54,58
68,68,68,49,68,49,54,58,60
68,68,49,68,49,54,58,60,58
68,49,68,49,54,58,60,58,61
49,68,49,54,58,60,58,61,97
68,49,54,58,60,58,61,97,49
49,54,58,60,58,61,97,49,85
54,58,60,58,61,97,49,85,97
58,60,58,61,97,49,85,97,54
60,58,61,97,49,85,97,54,70
58,61,97,49,85,97,54,70,94
61,97,49,85,97,54,70,94,53
97,49,85,97,54,70,94,53,54
49,85,97,54,70,94,53,54,55
85,97,54,70,94,53,54,55,56
97,54,70,94,53,54,55,56,80
54,70,94,53,54,55,56,80,92
70,94,53,54,55,56,80,92,68
94,53,54,55,56,80,92,68,44
53,54,55,56,80,92,68,44,80
54,55,56,80,92,68,44,80,54
55,56,80,92,68,44,80,54,68
56,80,92,68,44,80,54,68,60
80,92,68,44,80,54,68,60,63
92,68,44,80,54,68,60,63,65
68,44,80,54,68,60,63,65,80
44,80,54,68,60,63,65,80,80
80,54,68,60,63,65,80,80,54
54,68,60,63,65,80,80,54,92
68,60,63,65,80,80,54,92,60
60,63,65,80,80,54,92,60,80
63,65,80,80,54,92,60,80,61
65,80,80,54,92,60,80,61,80
80,80,54,92,60,80,61,80,44
80,54,92,60,80,61,80,44,54
54,92,60,80,61,80,44,54,80
92,60,80,61,80,44,54,80,56
60,80,61,80,44,54,80,56,68
80,61,80,44,54,80,56,68,73
61,80,44,54,80,56,68,73,89
80,44,54,80,56,68,73,89,91
44,54,80,56,68,73,89,91,53
54,80,56,68,73,89,91,53,61
80,56,68,73,89,91,53,61,42
56,68,73,89,91,53,61,42,70
68,73,89,91,53,61,42,70,49
73,89,91,53,61,42,70,49,54
89,91,53,61,42,70,49,54,82
91,53,61,42,70,49,54,82,59
53,61,42,70,49,54,82,59,82
61,42,70,49,54,82,59,82,54
42,70,49,54,82,59,82,54,97
70,49,54,82,59,82,54,97,49
49,54,82,59,82,54,97,49,85
54,82,59,82,54,97,49,85,44
82,59,82,54,97,49,85,44,58
59,82,54,97,49,85,44,58,82
82,54,97,49,85,44,58,82,94
54,97,49,85,44,58,82,94,61
97,49,85,44,58,82,94,61,53
49,85,44,58,82,94,61,53,73
85,44,58,82,94,61,53,73,56
44,58,82,94,61,53,73,56,80
58,82,94,61,53,73,56,80,92
82,94,61,53,73,56,80,92,68
94,61,53,73,56,80,92,68,44
61,53,73,56,80,92,68,44,80
53,73,56,80,92,68,44,80,54
73,56,80,92,68,44,80,54,55
56,80,92,68,44,80,54,55,68
80,92,68,44,80,54,55,68,60
92,68,44,80,54,55,68,60,55
68,44,80,54,55,68,60,55,53
44,80,54,55,68,60,55,53,63
80,54,55,68,60,55,53,63,54
54,55,68,60,55,53,63,54,80
55,68,60,55,53,63,54,80,92
68,60,55,53,63,54,80,92,51
60,55,53,63,54,80,92,51,80
55,53,63,54,80,92,51,80,49
53,63,54,80,92,51,80,49,85
63,54,80,92,51,80,49,85,97
54,80,92,51,80,49,85,97,65
80,92,51,80,49,85,97,65,66
92,51,80,49,85,97,65,66,77
51,80,49,85,97,65,66,77,101
80,49,85,97,65,66,77,101,77
49,85,97,65,66,77,101,77,73
85,97,65,66,77,101,77,73,63
97,65,66,77,101,77,73,63,54
65,66,77,101,77,73,63,54,61
66,77,101,77,73,63,54,61,97
77,101,77,73,63,54,61,97,65
101,77,73,63,54,61,97,65,73
77,73,63,54,61,97,65,73,68
73,63,54,61,97,65,73,68,101
63,54,61,97,65,73,68,101,89
54,61,97,65,73,68,101,89,37
61,97,65,73,68,101,89,37,53
97,65,73,68,101,89,37,53,73
65,73,68,101,89,37,53,73,61
73,68,101,89,37,53,73,61,44
68,101,89,37,53,73,61,44,56
101,89,37,53,73,61,44,56,49
89,37,53,73,61,44,56,49,68
37,53,73,61,44,56,49,68,73
53,73,61,44,56,49,68,73,89
73,61,44,56,49,68,73,89,85
61,44,56,49,68,73,89,85,101
44,56,49,68,73,89,85,101,101
56,49,68,73,89,85,101,101,92
49,68,73,89,85,101,101,92,77
68,73,89,85,101,101,92,77,80
73,89,85,101,101,92,77,80,53
89,85,101,101,92,77,80,53,77
85,101,101,92,77,80,53,77,49
